,year,selling_price,km_driven,fuel,seller_type,transmission,owner,Manufacturer,Model,Variant
0,2007,60000,70000,Petrol,Individual,Manual,First Owner,Maruti,800,AC
1,2007,135000,50000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R LXI,Minor
2,2012,600000,100000,Diesel,Individual,Manual,First Owner,Hyundai,Verna 1.6,SX
3,2017,250000,46000,Petrol,Individual,Manual,First Owner,Datsun,RediGO T,Option
4,2014,450000,141000,Diesel,Individual,Manual,Second Owner,Honda,Amaze VX,i-DTEC
5,2007,140000,125000,Petrol,Individual,Manual,First Owner,Maruti,Alto LX,BSIII
6,2016,550000,25000,Petrol,Individual,Manual,First Owner,Hyundai,Xcent 1.2 Kappa,S
7,2014,240000,60000,Petrol,Individual,Manual,Second Owner,Tata,Indigo Grand,Petrol
8,2015,850000,25000,Petrol,Individual,Manual,First Owner,Hyundai,Creta 1.6 VTVT,S
9,2017,365000,78000,CNG,Individual,Manual,First Owner,Maruti,Celerio Green,VXI
10,2015,260000,35000,Petrol,Individual,Manual,First Owner,Chevrolet,Sail 1.2,Base
11,2014,250000,100000,Petrol,Individual,Manual,First Owner,Tata,Indigo Grand,Petrol
12,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner,Toyota,Corolla Altis 1.8 VL,CVT
26,2015,585000,24000,Petrol,Dealer,Manual,First Owner,Maruti,Ciaz VXi,Plus
27,2019,1195000,5000,Diesel,Dealer,Manual,First Owner,Hyundai,Venue SX Opt,Diesel
28,2013,390000,33000,Diesel,Individual,Manual,Second Owner,Chevrolet,Enjoy TCDi LTZ 7,Seater
29,2014,1964999,28000,Diesel,Dealer,Automatic,First Owner,Jaguar,XF 2.2 Litre,Luxury
30,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner,Mercedes-Benz,New C-Class 220 CDI,AT
31,2018,975000,4500,Diesel,Dealer,Automatic,First Owner,Maruti,Vitara Brezza ZDi Plus,AMT
32,2011,1190000,175900,Diesel,Dealer,Automatic,First Owner,Audi,Q5 2.0,TDI
33,2018,930000,14500,Petrol,Dealer,Manual,First Owner,Honda,City V,MT
34,2018,525000,15000,Petrol,Individual,Manual,First Owner,Tata,Tigor 1.2 Revotron,XT
35,2013,1735000,50000,Diesel,Dealer,Automatic,First Owner,Audi,A6 2.0 TDI Design,Edition
36,2012,1375000,33800,Diesel,Dealer,Automatic,Second Owner,Mercedes-Benz,New C-Class C 220 CDI,Avantgarde
37,2011,450000,130400,Diesel,Dealer,Automatic,Second Owner,Skoda,Superb Ambition 2.0 TDI CR,AT
